Name	Group	Age	Coverage	Region	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10				
Ethno_A	Ethno	100	257.317653	Northeast	0.0338	-0.0048	-0.1938	0.0372	0.1128	0.0498	0.1347	0.2251	0.2283	0.0338				
Ethno_G	Ethno	100	201.280633	Northeast	0.5448	0.1577	-0.0825	-0.2555	-0.3665	-0.4633	0.2798	0.0117	-0.0577	-0.0396				
Ethno_H	Ethno	100	169.501025	Northeast	0.5489	0.1303	0.5614	0.3694	0.1526	0.1766	-0.1193	-0.0197	0.0851	-0.0047				
Ethno_J	Ethno	100	203.090861	Dakotas	0.416	0.0912	-0.5065	-0.2788	0.2405	0.3901	-0.3101	-0.0151	-0.0504	0.0167				
SF_02_Al	Archeo	3701	0.09004807	Ozark	-0.0275	0.019	0.0059	0.0071	-0.0061	-0.0226	-0.0333	-0.0201	-0.0229	0.0427				
SF_03_Pu	Archeo	594	37.6755696	Ozark	-0.02	-0.0121	-0.0372	0.1009	0.0949	-0.0382	0.1542	0.1344	-0.2223	0.0204				
SF_05_Cr	Archeo	573	31.3275449	Ozark	-0.0133	0.0316	-0.0264	0.1284	0.1963	-0.0001	0.2628	0.2653	-0.3439	-0.1179				
SF_07_Ed	Archeo	1665	30.820208	Ozark	-0.0744	0.1155	0.0759	-0.0264	0.0111	0.0233	0.0455	0.035	0.0544	-0.0237				
SF_10_Tr	Archeo	0	0.12532181	Southwest	-0.0048	0.0097	0.0143	0.0095	0.046	0.015	0.0551	0.0307	-0.0331	-0.0132				
SF_11_a_	Archeo	3136	2.06993957	Kentucky	-0.0114	0.0082	-0.0298	0.0254	0.0368	0.0009	0.0358	0.036	-0.0075	-0.0065				
SF_12_Pu	Archeo	584	10.5023045	Ozark	0.0061	-0.0029	-0.0496	0.1054	0.1352	0.0203	0.1137	0.1507	-0.1984	-0.0341				
SF_13_Al	Archeo	3481	0.26570772	Ozark	-0.0098	0.0203	0.0084	0.0119	0.0141	0	0.0042	0.016	0.0048	-0.0126				
SF_15_Ag	Archeo	1721	0.07185874	Ozark	-0.0196	0.0118	0.0021	0.0148	0.0131	-0.006	0.0089	-0.0006	-0.0062	-0.0154				
SF_18_Ne	Archeo	0	0.12875008	Kentucky	-0.0078	-0.0077	-0.0064	0.0021	0.0064	-0.0081	0.01	-0.0111	0.0352	0.0018				
SF_19_Mo	Archeo	1342	27.6501958	Ozark	-0.0628	0.0656	0.0101	0.0058	0.0489	-0.0246	0.0628	0.126	0.1013	-0.0664				
SF_21_Ed	Archeo	1722	24.9727851	Ozark	-0.0954	0.1569	0.1355	-0.11	-0.0245	0.0461	-0.0773	-0.1426	-0.4367	0.242				
SF_22_Ed	Archeo	1785	26.2759592	Ozark	-0.0937	0.1642	0.1013	-0.1033	-0.0322	0.0223	-0.0603	-0.1411	-0.1191	0.0608				
SF_23_Ed	Archeo	1691	62.6844754	Ozark	-0.1226	0.1875	0.1031	-0.1309	-0.044	0.0312	-0.0224	0.0345	0.2188	-0.0012				
SF_27_Be	Archeo	418	0.50203268	Ozark	-0.0115	-0.0003	-0.0185	0.0332	0.0184	-0.0205	0.0377	0.016	-0.0105	0.0038				
SF_28_Ed	Archeo	1751	32.5764003	Ozark	-0.0878	0.1342	0.0461	-0.0839	-0.0633	-0.0052	-0.0341	-0.1066	0.0451	0.024				
SF_29_Br	Archeo	424	10.3975371	Ozark	-0.0314	0.0125	-0.0199	0.0402	0.0558	-0.0203	0.0943	0.1189	0.0017	-0.0273				
SF_33_Cl	Archeo	1637	0.48464955	Kentucky	-0.0215	-0.0023	-0.0199	0.0252	0.0127	-0.0088	0.0209	0.0055	0.0309	-0.0274				
SF_35b_C	Archeo	0	1.23221276	Kentucky	-0.0249	0.0074	-0.0229	0.0241	0.0212	-0.0197	0.0329	0.0223	0.0023	0.0042				
SF_37_Cl	Archeo	0	0.15464869	Kentucky	-0.0085	-0.0153	-0.016	0.0217	0.0038	-0.0257	0.0231	-0.0085	0.0221	-0.004				
SF_37b_C	Archeo	0	0.13730823	Kentucky	0.1291	0.0377	0.0018	-0.0041	-0.0266	-0.0645	0.0467	0.0132	0.0272	-0.0028				
SF_38_Cl	Archeo	0	0.10036389	Kentucky	-0.012	-0.0264	0.0137	-0.0417	0.0364	-0.0262	0.017	-0.0197	0.0249	0.0015				
SF_39_Ma	Archeo	0	0.59632986	Ozark	-0.0045	0.0084	-0.0171	0.0247	0.0186	-0.0007	0.0076	0.0062	0.0043	-0.0062				
SF_41_Ed	Archeo	1729	19.4577942	Ozark	-0.084	0.1161	0.0581	-0.0721	-0.0276	0.015	-0.0071	-0.0492	0.117	0.0064				
SF_43_Ed	Archeo	1723	19.2266863	Ozark	-0.0842	0.144	0.0499	-0.113	-0.0317	0.0235	-0.019	-0.0508	0.1801	-0.0293				
SF_45_Ed	Archeo	1726	34.5069002	Ozark	-0.0823	0.1592	0.0553	-0.1179	-0.0341	0.0288	-0.0232	-0.0531	0.2062	-0.0326				
SF_46_Ed	Archeo	1655	10.8067258	Ozark	-0.0672	0.0925	0.0565	-0.0703	-0.0183	-0.0045	-0.039	-0.0097	0.0059	0.0092				
SF_48_Ed	Archeo	3087	0.98605806	Ozark	-0.0196	0.0273	-0.0032	0.0172	0.0054	-0.0004	0.012	0.0151	-0.0034	-0.0117				
SF_51_Ma	Archeo	0	0.72063052	Ozark	-0.0262	0.0188	-0.0126	0.0046	0.0218	-0.0086	0.0164	0.0206	0.0373	-0.0056				
SF_52_Cl	Archeo	0	0.22681562	Kentucky	-0.0175	0.009	-0.008	0.0058	0.0057	-0.0142	0.0147	-0.0102	-0.011	0.024				
SF_55_Cl	Archeo	0	0.10260864	Kentucky	-0.0181	0.0125	0.0064	0.0187	0.0109	-0.0076	-0.0062	-0.0085	0.0391	0.0019				
SF_57_Cl	Archeo	0	0.12283093	Kentucky	-0.0144	-0.0091	-0.0223	-0.0076	0.0341	0.0096	-0.0143	-0.0067	0.0481	0.0126				
SF_59_Ne	Archeo	0	0.12704658	Kentucky	-0.0223	0.0113	-0.015	0.0031	0.002	-0.0311	0.0051	0.0444	0.0376	-0.007				
SF_63a_B	Archeo	1639	14.4504143	Ozark	-0.0821	0.1026	0.036	-0.073	-0.0199	0.0248	-0.0707	-0.0177	0.0891	-0.0571				
SF_63b_B	Archeo	1639	42.2506433	Ozark	-0.0941	0.134	0.0517	-0.0873	-0.0298	0.0218	-0.0932	-0.0102	0.1127	-0.078				
SF_64a_B	Archeo	1640	8.51630609	Ozark	-0.07	0.0946	0.022	-0.0629	-0.0221	0.0205	-0.0281	0.0101	0.1261	-0.0507				
SF_65a_e	Archeo	1795	1.13456706	Ozark	-0.0306	0.0182	0.0052	-0.0136	-0.0125	-0.0075	-0.0142	-0.0083	0.0026	0.0025				
SF_65b_A	Archeo	1795	0.73234926	Ozark	-0.0208	-0.0019	0.0025	-0.0078	0.0033	-0.0272	-0.0299	0.0102	0.0304	-0.0107				
SF_65c_e	Archeo	1795	0.9116642	Ozark	-0.0229	0.0005	-0.0178	0.0001	0.0107	-0.0118	0.0001	0.0077	0.012	-0.0127				
SF_65e_A	Archeo	1795	3.97382279	Ozark	-0.0319	0.0089	0.0095	0.0213	0.0114	-0.0055	0.0254	0.0126	-0.0183	-0.0144				
SF_65f_A	Archeo	1795	1.13910469	Ozark	-0.0277	0.0188	-0.002	0.0043	0.0051	-0.0026	0.0068	0.0098	0.0329	-0.0267				
SF_65g_e	Archeo	1795	3.35831635	Ozark	-0.0486	0.0346	-0.0004	-0.0218	-0.0089	-0.0151	-0.0094	-0.0083	0.043	-0.0171				
SF_65h_e	Archeo	1795	0.42249297	Ozark	-0.0324	0.0149	-0.0066	0.0004	-0.0008	0.0034	0.0116	-0.0087	0.0067	-0.0155				
SF_65i_A	Archeo	1795	2.51920862	Ozark	-0.0298	0.0203	-0.0011	0.0039	0.0088	-0.0203	0.0189	0.0112	0.0382	-0.0186				
SF_65j_e	Archeo	1795	1.37261074	Ozark	-0.0163	0.0187	0.0069	-0.0087	-0.0072	-0.0186	0.0135	-0.0066	0.0162	-0.0075				
SF_65k_e	Archeo	1795	4.02482933	Ozark	-0.0424	0.028	0.0089	-0.003	0.0052	-0.0147	-0.0206	0.0058	-0.0081	0.0095				
