Group	Name	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
Ethno	Ethno_A	0.0338	-0.0048	-0.1938	0.0372	0.1128	0.0498	0.1347	0.2251	0.2283	0.0338	Control
Ethno	Ethno_G	0.5448	0.1577	-0.0825	-0.2555	-0.3665	-0.4633	0.2798	0.0117	-0.0577	-0.0396	Control
Ethno	Ethno_H	0.5489	0.1303	0.5614	0.3694	0.1526	0.1766	-0.1193	-0.0197	0.0851	-0.0047	Control
Ethno	Ethno_J	0.4160	0.0912	-0.5065	-0.2788	0.2405	0.3901	-0.3101	-0.0151	-0.0504	0.0167	Control
Archeo	SF_02_Al	-0.0275	0.0190	0.0059	0.0071	-0.0061	-0.0226	-0.0333	-0.0201	-0.0229	0.0427	Control
Archeo	SF_03_Pu	-0.0200	-0.0121	-0.0372	0.1009	0.0949	-0.0382	0.1542	0.1344	-0.2223	0.0204	Control
Archeo	SF_05_Cr	-0.0133	0.0316	-0.0264	0.1284	0.1963	-0.0001	0.2628	0.2653	-0.3439	-0.1179	Control
Archeo	SF_07_Ed	-0.0744	0.1155	0.0759	-0.0264	0.0111	0.0233	0.0455	0.0350	0.0544	-0.0237	Control
Archeo	SF_10_Tr	-0.0048	0.0097	0.0143	0.0095	0.0460	0.0150	0.0551	0.0307	-0.0331	-0.0132	Control
Archeo	SF_11_a_	-0.0114	0.0082	-0.0298	0.0254	0.0368	0.0009	0.0358	0.0360	-0.0075	-0.0065	Control
Archeo	SF_12_Pu	0.0061	-0.0029	-0.0496	0.1054	0.1352	0.0203	0.1137	0.1507	-0.1984	-0.0341	Control
Archeo	SF_13_Al	-0.0098	0.0203	0.0084	0.0119	0.0141	-0.0000	0.0042	0.0160	0.0048	-0.0126	Control
Archeo	SF_15_Ag	-0.0196	0.0118	0.0021	0.0148	0.0131	-0.0060	0.0089	-0.0006	-0.0062	-0.0154	Control
Archeo	SF_18_Ne	-0.0078	-0.0077	-0.0064	0.0021	0.0064	-0.0081	0.0100	-0.0111	0.0352	0.0018	Control
Archeo	SF_19_Mo	-0.0628	0.0656	0.0101	0.0058	0.0489	-0.0246	0.0628	0.1260	0.1013	-0.0664	Control
